Currency_Code,Currency,Country
GBP,Pound Sterling,JERSEY
JOD,Jordanian Dinar,JORDAN
KZT,Tenge,KAZAKHSTAN
KES,Kenyan Shilling,KENYA
AUD,Australian Dollar,KIRIBATI
KPW,North Korean Won,KOREA (THE DEMOCRATIC    PEOPLE&rsquo;S REPUBLIC OF)
KRW,Won,KOREA (THE REPUBLIC OF)
KWD,Kuwaiti Dinar,KUWAIT
KGS,Som,KYRGYZSTAN
LAK,Kip,LAO PEOPLE&rsquo;S DEMOCRATIC    REPUBLIC (THE)
EUR,Euro,LATVIA
LBP,Lebanese Pound,LEBANON
LSL,Loti,LESOTHO
ZAR,Rand,LESOTHO
LRD,Liberian Dollar,LIBERIA
LYD,Libyan Dinar,LIBYA
CHF,Swiss Franc,LIECHTENSTEIN
EUR,Euro,LITHUANIA
EUR,Euro,LUXEMBOURG
MOP,Pataca,MACAO
MKD,Denar,REPUBLIC OF NORTH MACEDONIA
MGA,Malagasy Ariary,MADAGASCAR
MWK,Kwacha,MALAWI
MYR,Malaysian Ringgit,MALAYSIA
MVR,Rufiyaa,MALDIVES
XOF,CFA Franc BCEAO,MALI
EUR,Euro,MALTA
USD,US Dollar,MARSHALL ISLANDS (THE)
EUR,Euro,MARTINIQUE
MRU,Ouguiya,MAURITANIA
MUR,Mauritius Rupee,MAURITIUS
EUR,Euro,MAYOTTE
XUA,ADB Unit of Account,MEMBER COUNTRIES OF THE    AFRICAN DEVELOPMENT BANK GROUP
MXN,Mexican Peso,MEXICO
MXV,Mexican Unidad de Inversion (UDI),MEXICO
USD,US Dollar,MICRONESIA (FEDERATED STATES    OF)
MDL,Moldovan Leu,MOLDOVA (THE REPUBLIC OF)
EUR,Euro,MONACO
MNT,Tugrik,MONGOLIA
EUR,Euro,MONTENEGRO
XCD,East Caribbean Dollar,MONTSERRAT
MAD,Moroccan Dirham,MOROCCO
MZN,Mozambique Metical,MOZAMBIQUE
MMK,Kyat,MYANMAR
NAD,Namibia Dollar,NAMIBIA
ZAR,Rand,NAMIBIA
AUD,Australian Dollar,NAURU
NPR,Nepalese Rupee,NEPAL
EUR,Euro,NETHERLANDS (THE)
XPF,CFP Franc,NEW CALEDONIA
NZD,New Zealand Dollar,NEW ZEALAND
NIO,Cordoba Oro,NICARAGUA
XOF,CFA Franc BCEAO,NIGER (THE)
NGN,Naira,NIGERIA
NZD,New Zealand Dollar,NIUE
AUD,Australian Dollar,NORFOLK ISLAND
USD,US Dollar,NORTHERN MARIANA ISLANDS    (THE)
NOK,Norwegian Krone,NORWAY
OMR,Rial Omani,OMAN
PKR,Pakistan Rupee,PAKISTAN
USD,US Dollar,PALAU
,No universal currency,"PALESTINE, STATE OF"
PAB,Balboa,PANAMA
USD,US Dollar,PANAMA
PGK,Kina,PAPUA NEW GUINEA
PYG,Guarani,PARAGUAY
PEN,Nuevo Sol,PERU
PHP,Philippine Peso,PHILIPPINES (THE)
NZD,New Zealand Dollar,PITCAIRN
PLN,Zloty,POLAND
EUR,Euro,PORTUGAL
USD,US Dollar,PUERTO RICO
QAR,Qatari Rial,QATAR
EUR,Euro,RÉUNION
RON,Romanian Leu,ROMANIA
RUB,Russian Ruble,RUSSIAN FEDERATION (THE)
RWF,Rwanda Franc,RWANDA
EUR,Euro,SAINT BARTHÉLEMY
SHP,Saint Helena Pound,"SAINT HELENA, ASCENSION AND    TRISTAN DA CUNHA"
XCD,East Caribbean Dollar,SAINT KITTS AND NEVIS
XCD,East Caribbean Dollar,SAINT LUCIA
EUR,Euro,SAINT MARTIN (FRENCH PART)
EUR,Euro,SAINT PIERRE AND MIQUELON
XCD,East Caribbean Dollar,SAINT VINCENT AND THE    GRENADINES
WST,Tala,SAMOA
EUR,Euro,SAN MARINO
STN,Dobra,SAO TOME AND PRINCIPE
SAR,Saudi Riyal,SAUDI ARABIA
XOF,CFA Franc BCEAO,SENEGAL
RSD,Serbian Dinar,SERBIA
SCR,Seychelles Rupee,SEYCHELLES
SLE,Leone,SIERRA LEONE
SGD,Singapore Dollar,SINGAPORE
ANG,Netherlands Antillean Guilder,SINT MAARTEN (DUTCH PART)
XSU,Sucre,SISTEMA UNITARIO DE    COMPENSACION REGIONAL DE PAGOS &quot;SUCRE&quot;
EUR,Euro,SLOVAKIA
EUR,Euro,SLOVENIA
SBD,Solomon Islands Dollar,SOLOMON ISLANDS
SOS,Somali Shilling,SOMALIA
ZAR,Rand,SOUTH AFRICA
,No universal currency,SOUTH GEORGIA AND THE SOUTH    SANDWICH ISLANDS
SSP,South Sudanese Pound,SOUTH SUDAN
EUR,Euro,SPAIN
LKR,Sri Lanka Rupee,SRI LANKA
SDG,Sudanese Pound,SUDAN (THE)
SRD,Surinam Dollar,SURINAME
NOK,Norwegian Krone,SVALBARD AND JAN MAYEN
SZL,Lilangeni,SWAZILAND
SEK,Swedish Krona,SWEDEN
CHE,WIR Euro,SWITZERLAND
CHF,Swiss Franc,SWITZERLAND
CHW,WIR Franc,SWITZERLAND
SYP,Syrian Pound,SYRIAN ARAB REPUBLIC
TWD,New Taiwan Dollar,TAIWAN (PROVINCE OF CHINA)
TJS,Somoni,TAJIKISTAN
TZS,Tanzanian Shilling,"TANZANIA, UNITED REPUBLIC OF"
THB,Baht,THAILAND
USD,US Dollar,TIMOR-LESTE
XOF,CFA Franc BCEAO,TOGO
NZD,New Zealand Dollar,TOKELAU
TOP,Pa&rsquo;anga,TONGA
TTD,Trinidad and Tobago Dollar,TRINIDAD AND TOBAGO
TND,Tunisian Dinar,TUNISIA
TRY,Turkish Lira,TURKEY
TMT,Turkmenistan New Manat,TURKMENISTAN
USD,US Dollar,TURKS AND CAICOS ISLANDS    (THE)
AUD,Australian Dollar,TUVALU
UGX,Uganda Shilling,UGANDA
UAH,Hryvnia,UKRAINE
AED,UAE Dirham,UNITED ARAB EMIRATES (THE)
GBP,Pound Sterling,UNITED KINGDOM OF GREAT    BRITAIN AND NORTHERN IRELAND (THE)
USD,US Dollar,UNITED STATES MINOR OUTLYING    ISLANDS (THE)
USD,US Dollar,UNITED STATES OF AMERICA    (THE)
USN,US Dollar (Next day),UNITED STATES OF AMERICA    (THE)
UYI,Uruguay Peso en Unidades Indexadas (URUIURUI),URUGUAY
UYU,Peso Uruguayo,URUGUAY
UZS,Uzbekistan Sum,UZBEKISTAN
VUV,Vatu,VANUATU
VEF,Bolivar,VENEZUELA (BOLIVARIAN REPUBLIC OF)
VED,Bolivar,VENEZUELA (BOLIVARIAN REPUBLIC OF)
VND,Dong,VIET NAM
USD,US Dollar,VIRGIN ISLANDS (BRITISH)
USD,US Dollar,VIRGIN ISLANDS (U.S.)
XPF,CFP Franc,WALLIS AND FUTUNA
MAD,Moroccan Dirham,WESTERN SAHARA
YER,Yemeni Rial,YEMEN
ZMW,Zambian Kwacha,ZAMBIA
ZWL,Zimbabwe Dollar,ZIMBABWE
