company_name,work_hours,job_titles,skills
"Coleman, Baker and Bennett",01:27 - 01:17,"['Advertising art director', 'Chemist, analytical', 'Transport planner', 'Estate agent', 'Chief Technology Officer']","[['similar', 'while', 'order', 'consider', 'everyone'], ['question', 'cold', 'international'], ['city', 'she', 'speech', 'capital'], ['whom', 'particular'], ['Mr']]"
"Abbott, Black and Villegas",21:18 - 04:18,"['Therapist, art']","[['growth', 'let', 'follow', 'heart']]"
"Cox, Hill and Klein",19:20 - 13:40,"['Health and safety inspector', 'Catering manager', 'Television camera operator', 'Scientist, forensic', 'Therapist, speech and language', 'Company secretary', 'Osteopath', 'Sales executive', 'Surveyor, minerals']","[['name', 'couple', 'reveal', 'actually'], ['at', 'ok', 'loss', 'white', 'certainly'], ['arm', 'red', 'feel', 'develop', 'only'], ['in', 'which', 'reduce', 'page', 'edge'], ['once', 'fire', 'bag', 'through'], ['TV', 'receive'], ['plan', 'figure', 'specific', 'begin'], ['candidate', 'against', 'main'], ['man']]"
Byrd and Sons,14:05 - 10:09,['Physiological scientist'],"[['human', 'positive', 'start', 'beyond']]"
Suarez Ltd,02:24 - 07:01,"['Nature conservation officer', 'Software engineer', 'Research scientist (maths)', 'Health physicist', 'Geographical information systems officer', 'Oncologist', 'Media planner']","[['work', 'call', 'rock'], ['west', 'account'], ['effect', 'most'], ['design', 'man', 'difficult', 'grow', 'study'], ['war', 'friend', 'industry', 'little', 'city'], ['yeah', 'should', 'should'], ['capital', 'simply', 'place', 'mind']]"
"Davidson, Shelton and Mcgee",12:51 - 20:16,"['Engineer, electronics']","[['court', 'specific', 'condition', 'sell']]"
Torres PLC,09:12 - 19:29,"['Engineer, communications', 'Engineer, site', 'Fisheries officer', 'Teaching laboratory technician', 'Administrator, local government', 'Bonds trader', 'Community arts worker', 'Public affairs consultant']","[['without', 'feeling'], ['write'], ['senior', 'call', 'morning', 'early'], ['action', 'recent'], ['around'], ['she', 'clearly', 'administration', 'assume'], ['husband', 'person', 'ago', 'drive', 'edge'], ['suffer']]"
Rodriguez Group,00:10 - 02:00,"['Child psychotherapist', 'Television camera operator', 'Building services engineer']","[['space'], ['second', 'on', 'peace', 'bring'], ['white', 'way']]"
Phillips-Rojas,08:35 - 03:40,"['Administrator, Civil Service', 'Risk manager', 'Armed forces training and education officer', 'Conservator, museum/gallery', 'Wellsite geologist', 'Accountant, chartered certified']","[['record'], ['factor'], ['light', 'actually', 'understand'], ['job', 'among'], ['country', 'usually', 'alone'], ['level']]"
Delacruz-Rose,14:11 - 22:12,"['Therapeutic radiographer', 'Race relations officer', 'Mudlogger', 'Travel agency manager', 'Chief of Staff', 'Insurance claims handler']","[['performance', 'affect'], ['woman', 'president', 'dream'], ['near', 'garden', 'ability', 'play'], ['drug', 'able', 'at', 'now', 'mean'], ['drug', 'study', 'economic', 'second', 'interest'], ['catch', 'adult', 'space', 'only']]"
Parker-Mcmillan,04:58 - 09:06,"['Technical brewer', 'Industrial/product designer', 'Retail merchandiser', 'Accountant, chartered certified', 'Solicitor, Scotland', 'Drilling engineer', 'Mudlogger']","[['water', 'nature', 'knowledge'], ['back', 'realize', 'space', 'fire', 'page'], ['special', 'understand', 'particular'], ['reduce'], ['wrong', 'court'], ['individual', 'fill', 'view', 'right', 'provide'], ['letter', 'now']]"
Smith LLC,12:30 - 06:14,"['Farm manager', 'Engineer, electrical', 'Forest/woodland manager']","[['discussion', 'push', 'pay'], ['attention', 'own'], ['character', 'offer', 'other']]"
Sanchez-Bowman,18:47 - 22:17,"['Records manager', 'Therapist, sports', 'Education administrator', 'Cabin crew', 'General practice doctor', 'Research officer, trade union', 'Pharmacist, hospital', 'Designer, interior/spatial', 'Operational researcher']","[['edge', 'red', 'product', 'this', 'book'], ['bar'], ['hard', 'meeting', 'other'], ['approach'], ['face', 'find', 'letter', 'value'], ['find'], ['prevent', 'push', 'that', 'design', 'blood'], ['compare'], ['position', 'save', 'main']]"
Griffin-Howard,06:49 - 17:15,"['Company secretary', 'Applications developer']","[['value'], ['might']]"
Patton Inc,02:07 - 08:27,"['Retail buyer', 'Economist', 'Psychiatrist', 'Civil Service administrator', 'Civil engineer, contracting', 'Horticultural consultant', 'Catering manager', 'Buyer, retail', 'Transport planner']","[['oil'], ['wind'], ['soldier', 'then'], ['look'], ['loss', 'every', 'father'], ['field', 'forget', 'weight'], ['receive'], ['lead', 'individual', 'little', 'positive'], ['support', 'section', 'economy', 'help']]"
Armstrong-Lawson,23:33 - 15:04,"['Marketing executive', 'Printmaker', 'Chartered management accountant', 'Plant breeder/geneticist', 'Plant breeder/geneticist', 'Information systems manager', 'Engineer, drilling', 'Legal executive', 'Biomedical scientist', 'Designer, exhibition/display']","[['ago', 'ability'], ['record', 'attention', 'sister', 'blue', 'where'], ['deal', 'power', 'popular', 'million', 'heart'], ['ready', 'agency'], ['challenge', 'stage', 'effect', 'different'], ['organization', 'catch'], ['around', 'audience', 'feel', 'out', 'foot'], ['operation', 'behavior', 'ground'], ['white', 'actually', 'Democrat', 'week'], ['than', 'direction', 'true', 'pretty', 'use']]"
"Simmons, Fisher and Nixon",11:18 - 17:07,"['Engineer, building services', 'Mudlogger', 'Brewing technologist']","[['anyone', 'reveal'], ['then'], ['off', 'TV', 'maybe']]"
Williams-Hansen,08:46 - 16:19,"['Estate agent', 'Dentist', 'Orthoptist', 'Psychotherapist, child', 'Archivist', 'Information systems manager', 'Counselling psychologist', 'Video editor', 'Physiological scientist']","[['dinner', 'situation'], ['develop', 'exactly'], ['wall'], ['line', 'later', 'organization'], ['special', 'investment', 'mission'], ['beautiful', 'order', 'agency'], ['own', 'main'], ['themselves', 'ago', 'door', 'school'], ['catch', 'free', 'security', 'politics']]"
Clayton PLC,20:57 - 06:12,"['Scientist, research (maths)', 'Risk analyst', 'Quality manager', 'Public relations account executive', 'Plant breeder/geneticist', 'Aeronautical engineer', 'Architect', 'Tourism officer', 'Petroleum engineer']","[['notice'], ['need'], ['from', 'blood', 'base', 'factor', 'near'], ['state', 'it', 'movement'], ['play', 'during', 'half', 'seem', 'cultural'], ['drug'], ['often', 'give', 'while', 'participant'], ['still', 'me', 'throughout'], ['land', 'relate', 'include', 'build']]"
Jones and Sons,19:55 - 01:45,"['Administrator', 'Air cabin crew']","[['much'], ['ready', 'notice', 'box']]"
Hernandez Inc,04:01 - 03:07,"['Professor Emeritus', 'Town planner', 'Adult nurse', 'Fitness centre manager', 'Scientist, research (maths)', 'Engineer, production', 'Surveyor, mining', 'Radiographer, therapeutic']","[['pick', 'responsibility'], ['challenge', 'through', 'resource', 'stuff'], ['debate', 'single', 'loss', 'information'], ['something', 'successful', 'speak', 'sort'], ['since', 'mouth'], ['for', 'position'], ['black'], ['wrong', 'expert', 'direction', 'end', 'look']]"
"Hawkins, Brown and Mcdaniel",21:40 - 01:10,"['Musician', 'Television production assistant', 'Clinical cytogeneticist', 'Scientist, water quality']","[['just', 'both', 'card', 'identify', 'concern'], ['face'], ['method', 'manage', 'keep', 'behavior', 'within'], ['official']]"
Smith-Ortiz,23:15 - 09:01,"['Cartographer', 'Health and safety inspector', 'Geologist, engineering', 'Air traffic controller', 'Multimedia specialist', 'Nature conservation officer']","[['life', 'protect', 'party'], ['something', 'say', 'set', 'former', 'pass'], ['bag', 'trade', 'present', 'law', 'recently'], ['interest', 'pass', 'behavior', 'force'], ['bank', 'couple', 'traditional', 'reach'], ['design', 'laugh', 'current', 'report', 'the']]"
Perry-Ibarra,21:26 - 09:52,"['Higher education lecturer', 'Restaurant manager', 'Therapist, nutritional', 'Editorial assistant', 'Sound technician, broadcasting/film/video', 'Environmental consultant']","[['similar', 'go'], ['choose', 'field', 'part', 'we'], ['seek'], ['difference', 'wear'], ['she', 'quite', 'car', 'none'], ['according', 'wish', 'decision']]"
Smith and Sons,07:15 - 22:13,"['Administrator, education']","[['customer', 'let']]"
"Clay, Zavala and French",05:33 - 11:10,"['Town planner', 'English as a second language teacher', 'Newspaper journalist', 'Clinical scientist, histocompatibility and immunogenetics', 'Television floor manager', 'Immunologist', 'Sales executive', 'Dancer', 'Accommodation manager']","[['name', 'life'], ['tend', 'TV', 'voice'], ['wait', 'home'], ['activity', 'magazine', 'appear'], ['check', 'training', 'image', 'film', 'tend'], ['generation', 'trial', 'this', 'former', 'store'], ['situation', 'cut', 'degree'], ['away', 'other'], ['much', 'fast', 'senior']]"
"Watson, Castillo and Reynolds",08:53 - 20:39,"['Financial manager', 'Conservator, furniture', 'Research scientist (physical sciences)', 'IT consultant', 'Electronics engineer', 'Restaurant manager, fast food', 'Hospital pharmacist', 'Pathologist', 'Horticulturist, commercial', 'Professor Emeritus']","[['believe', 'listen', 'law'], ['rather', 'author', 'make', 'market', 'experience'], ['between', 'wall', 'government'], ['enter', 'truth', 'yes', 'why'], ['late', 'mean', 'defense'], ['trouble'], ['indeed', 'catch', 'expert'], ['resource', 'enter'], ['imagine'], ['effort', 'indeed', 'product', 'cover']]"
Hurley Group,05:13 - 21:52,"['Data scientist', 'Higher education careers adviser', 'Illustrator', 'Conservation officer, historic buildings', 'Materials engineer', 'Conservator, furniture', 'Operational researcher', 'Designer, television/film set', 'Administrator, local government']","[['always'], ['return', 'represent', 'finally'], ['sing', 'community'], ['community', 'idea'], ['especially', 'serious', 'buy', 'expect'], ['share', 'above', 'itself', 'firm', 'side'], ['knowledge', 'system'], ['treat', 'prevent', 'tree', 'tonight', 'financial'], ['mind']]"
Brown-Wall,03:41 - 12:32,"['Technical author', 'Occupational therapist', 'Holiday representative', 'Operations geologist', 'Naval architect', 'Diagnostic radiographer', 'Environmental manager', 'Designer, ceramics/pottery']","[['hour', 'machine', 'war', 'sign', 'gas'], ['officer', 'though', 'improve', 'most', 'cell'], ['few', 'network', 'friend', 'kitchen', 'style'], ['two', 'budget', 'magazine', 'sister', 'real'], ['necessary', 'include', 'between', 'appear'], ['its', 'citizen'], ['easy', 'phone', 'through'], ['relationship', 'shake', 'billion', 'according']]"
Simon-Wilson,13:47 - 19:09,"['Musician', 'Scientist, clinical (histocompatibility and immunogenetics)', 'Financial adviser', 'Insurance claims handler']","[['easy', 'question', 'wind', 'realize'], ['near', 'despite', 'rule', 'really'], ['better', 'firm'], ['why', 'establish', 'prevent', 'themselves']]"
Pratt-Holland,23:22 - 13:54,"['Purchasing manager', 'Restaurant manager, fast food', 'TEFL teacher', 'Chartered legal executive (England and Wales)', 'Psychiatrist', 'Outdoor activities/education manager']","[['reveal', 'leg', 'suffer', 'way', 'heavy'], ['common', 'why'], ['key', 'exactly', 'trip', 'another', 'expect'], ['nothing', 'draw', 'if'], ['like', 'government', 'another'], ['before', 'where', 'change']]"
"Burton, Guerrero and Martinez",21:44 - 09:16,"['Surveyor, land/geomatics', 'TEFL teacher', 'Ceramics designer', 'Clinical psychologist', 'Petroleum engineer', 'Engineer, structural', 'Social worker', 'Hydrogeologist']","[['participant', 'concern', 'majority'], ['beat', 'try', 'remember', 'summer', 'everything'], ['most', 'later', 'participant', 'walk'], ['article', 'hospital'], ['know'], ['many'], ['low', 'national', 'government', 'maintain'], ['down', 'trade', 'claim', 'maintain', 'after']]"
Ferguson-Hudson,17:53 - 07:41,"['Tourism officer', 'Land/geomatics surveyor', 'Amenity horticulturist', 'Advertising account executive']","[['look', 'meet', 'feel', 'place'], ['event', 'that', 'mean', 'seem'], ['treat', 'government', 'follow', 'statement', 'star'], ['point']]"
Davis-Allen,10:04 - 06:16,"['Associate Professor', 'Chief Marketing Officer', 'Designer, television/film set', 'Outdoor activities/education manager', 'Sales executive', 'Computer games developer']","[['response', 'cell', 'crime', 'sure', 'and'], ['sort', 'experience', 'seat', 'window', 'without'], ['central'], ['sport', 'each', 'use', 'save', 'matter'], ['close', 'suffer', 'wait', 'pretty'], ['where', 'theory']]"
"Brown, Austin and Perkins",00:25 - 12:49,"['Probation officer', 'Technical author', 'Sub']","[['draw', 'attorney'], ['age', 'may'], ['camera', 'adult', 'young']]"
"Smith, Thomas and Hoover",21:53 - 01:54,"['Therapeutic radiographer', 'Geographical information systems officer', 'Homeopath', 'Catering manager']","[['evidence', 'traditional', 'operation'], ['standard'], ['cover', 'reduce', 'green', 'program'], ['high', 'task']]"
"Friedman, Jackson and Weaver",22:34 - 01:38,"['Amenity horticulturist', 'Journalist, magazine', 'Engineer, structural', 'Building surveyor', 'Recycling officer', 'Sport and exercise psychologist']","[['democratic', 'require', 'poor', 'throughout'], ['candidate', 'remain', 'start', 'his', 'place'], ['raise', 'consumer', 'trial', 'power'], ['poor'], ['community', 'return', 'reduce', 'kid'], ['would', 'why', 'high', 'husband', 'nature']]"
"Graham, Lee and Hines",23:29 - 02:25,"['Doctor, general practice', 'Make', 'Immigration officer', 'Oncologist', 'Art gallery manager', 'Radiographer, diagnostic']","[['check', 'across', 'out', 'crime'], ['bad'], ['per', 'stock', 'should', 'college'], ['after', 'maintain', 'floor'], ['not', 'list', 'bad', 'simple', 'already'], ['spring', 'response']]"
Sanders Group,08:49 - 02:40,"['Teacher, adult education', 'Patent attorney', 'Hydrographic surveyor']","[['lot', 'top', 'worker', 'key'], ['represent'], ['his', 'car', 'body']]"
"Thompson, Soto and Lopez",11:15 - 22:06,"['Psychotherapist, child', 'Company secretary', 'IT technical support officer', 'Dealer', 'Occupational hygienist']","[['situation', 'country'], ['former', 'staff', 'huge'], ['keep', 'fine'], ['east', 'believe', 'behavior', 'improve', 'fall'], ['his', 'consider', 'year', 'authority', 'easy']]"
Gilmore Group,10:16 - 04:24,"['Museum/gallery curator', 'Copy', 'Air traffic controller', 'Runner, broadcasting/film/video', 'Conservator, museum/gallery', 'Town planner']","[['north', 'only', 'add'], ['ready', 'drop'], ['everything', 'cut', 'force'], ['worry', 'establish'], ['stuff', 'whose', 'half', 'executive', 'may'], ['various', 'throw']]"
"Morrison, Johnson and Downs",17:42 - 09:50,"['Engineer, electronics', 'Air cabin crew', 'Surveyor, insurance', 'Senior tax professional/tax inspector', 'Commercial/residential surveyor', 'Fine artist']","[['recently', 'everyone', 'space', 'change'], ['price'], ['man', 'agency', 'impact', 'science', 'result'], ['can', 'other'], ['generation', 'phone'], ['and', 'any', 'fact']]"
"Wilson, Dixon and Davis",05:29 - 07:14,['Automotive engineer'],"[['husband', 'card', 'nation']]"
Young-Petersen,12:41 - 17:02,"['Camera operator', 'Associate Professor', 'Architectural technologist', 'Herpetologist', 'Call centre manager', 'Fisheries officer', 'Magazine journalist', 'Contractor', 'Journalist, broadcasting', 'Database administrator']","[['cut', 'establish'], ['common', 'sea', 'over', 'low'], ['change', 'resource'], ['air', 'green', 'talk'], ['physical', 'soon', 'option'], ['loss', 'mission', 'none'], ['pull', 'perhaps', 'campaign'], ['subject', 'home', 'everyone', 'allow', 'year'], ['ground', 'spring', 'light'], ['first', 'line', 'rather']]"
Scott Ltd,02:22 - 13:43,"['Music tutor', 'Solicitor', 'Bonds trader', 'Training and development officer', 'Risk manager', 'Operational researcher', 'Video editor', 'Textile designer']","[['whatever'], ['news', 'class', 'into', 'get', 'source'], ['accept', 'concern', 'drop', 'if', 'nature'], ['community'], ['safe', 'teacher', 'even', 'citizen'], ['those', 'rather', 'course'], ['law', 'note', 'conference'], ['my', 'really', 'generation', 'various']]"
Guzman-Wright,07:15 - 08:59,"['Metallurgist', 'Metallurgist', 'Theatre director', 'Scientist, biomedical', 'Magazine features editor', 'Water engineer', 'Fast food restaurant manager', 'Chartered legal executive (England and Wales)', 'Soil scientist']","[['final', 'explain'], ['agency'], ['run'], ['ball', 'expect'], ['win', 'physical'], ['measure', 'theory', 'moment', 'would', 'so'], ['too', 'body', 'rise', 'central'], ['who'], ['their', 'represent', 'star', 'oil', 'people']]"
Bell-Bowers,01:09 - 22:18,"['Education officer, community', 'Medical physicist', 'Field trials officer', 'Designer, textile', 'Energy manager', 'Agricultural engineer', 'Sales executive', 'Insurance claims handler']","[['investment', 'improve'], ['investment', 'trial', 'point'], ['network', 'political', 'fly'], ['president'], ['politics', 'really', 'drop', 'citizen', 'music'], ['near', 'trade', 'too', 'stop', 'all'], ['myself', 'big', 'poor', 'because', 'voice'], ['number', 'ahead']]"
Brown-Sullivan,04:44 - 10:03,"['Fine artist', 'Television/film/video producer', 'Civil engineer, consulting', 'Media planner', 'International aid/development worker', 'Designer, television/film set']","[['hope'], ['sister', 'put'], ['change', 'me', 'get', 'class', 'can'], ['popular', 'interview'], ['participant'], ['make', 'movie', 'bad', 'community', 'huge']]"
"Campbell, Vargas and Newton",22:48 - 18:20,"['Clinical embryologist', 'Personal assistant', 'Programmer, multimedia', 'Chartered public finance accountant', 'Administrator, education', 'Arts development officer', 'Therapeutic radiographer', 'Adult nurse', 'Site engineer']","[['house', 'little'], ['stage', 'window', 'whether', 'be', 'season'], ['first', 'official', 'responsibility', 'tough'], ['himself', 'country'], ['hand', 'tend', 'good'], ['camera', 'defense', 'red'], ['green', 'skill', 'sister'], ['culture'], ['hold', 'local', 'we']]"
Warren PLC,19:59 - 09:46,"['Engineer, energy', 'Engineer, communications', 'Biochemist, clinical', 'Agricultural engineer', 'Advice worker', 'Programmer, systems', 'Secretary/administrator', 'Therapist, music', 'Drilling engineer', 'Therapist, nutritional']","[['generation', 'smile', 'statement', 'personal', 'create'], ['actually', 'human', 'financial', 'company', 'arm'], ['give', 'attack'], ['dark', 'political', 'however'], ['trade', 'watch', 'democratic', 'stay', 'onto'], ['son'], ['help'], ['mean', 'notice', 'population', 'know'], ['although', 'senior', 'summer', 'property'], ['represent', 'choice', 'beyond']]"
"Walker, Shelton and Clark",02:33 - 20:55,"['Diplomatic Services operational officer', 'Clothing/textile technologist', 'Chartered management accountant', 'Insurance account manager', 'Production assistant, television', 'Therapist, speech and language', 'Customer service manager', 'Public relations officer']","[['model', 'throughout', 'over', 'something', 'structure'], ['become', 'side', 'name'], ['often', 'mother', 'inside'], ['inside', 'avoid', 'cover', 'letter'], ['hundred', 'life'], ['eye', 'put', 'mind'], ['young', 'word'], ['easy', 'color', 'wind', 'staff', 'soldier']]"
"Fletcher, Wilson and Olson",20:31 - 18:28,"['Scientist, marine']","[['artist', 'perform', 'message']]"
"Harris, Novak and Lewis",05:38 - 03:50,"['Engineer, electrical', 'Public affairs consultant', 'Minerals surveyor', 'Engineer, petroleum', 'Exercise physiologist', 'Industrial buyer', 'Purchasing manager']","[['ahead', 'simple'], ['else'], ['like', 'live', 'hundred', 'player', 'control'], ['point', 'traditional'], ['project', 'produce', 'ahead', 'wall'], ['indicate'], ['individual', 'food', 'fine']]"
"Daniels, Sullivan and Schroeder",22:29 - 16:47,"['Garment/textile technologist', 'Bonds trader', 'Local government officer', 'Race relations officer']","[['establish'], ['center', 'follow'], ['song', 'ask'], ['itself']]"
Gilbert-Garza,01:36 - 16:29,"['Chartered public finance accountant', 'Chemist, analytical', 'Press photographer', 'Wellsite geologist', 'Firefighter', 'Medical technical officer', 'Horticulturist, amenity', 'Early years teacher', 'Scientist, research (life sciences)', 'Sub']","[['television', 'technology'], ['standard'], ['girl', 'least', 'travel', 'space'], ['couple', 'program', 'provide', 'take', 'all'], ['feeling', 'measure', 'sound', 'technology'], ['movement', 'specific', 'ok'], ['pull', 'pull'], ['day', 'pattern', 'trouble', 'dark', 'leader'], ['coach', 'while', 'offer'], ['party', 'image', 'fund', 'then', 'plan']]"
Henry Ltd,01:29 - 06:27,"['Conservator, museum/gallery', 'Pharmacist, community', 'Producer, radio', 'Environmental manager', 'English as a second language teacher', 'Dance movement psychotherapist']","[['today', 'character', 'themselves'], ['stand', 'dream', 'thing', 'spring'], ['piece', 'grow', 'least'], ['stock'], ['general', 'letter'], ['government', 'lawyer']]"
Silva Ltd,12:05 - 14:13,"['Psychotherapist, child', 'Advertising account planner', 'Aid worker', 'Actor', 'Materials engineer', 'Optometrist', 'Occupational hygienist', 'Freight forwarder', 'Accountant, chartered', 'Physiotherapist']","[['become'], ['public'], ['space', 'choose', 'stuff', 'page', 'seem'], ['vote', 'home'], ['our', 'institution', 'election'], ['store', 'purpose', 'might'], ['section', 'seek', 'hospital'], ['need'], ['his', 'theory', 'its', 'kid', 'miss'], ['record', 'research', 'would', 'decade']]"
"Hunt, Rodriguez and Barry",11:43 - 12:22,"['Company secretary', 'Hospital pharmacist', 'Public relations officer', 'Administrator, sports', 'Paediatric nurse', 'Curator']","[['fire', 'decade', 'great', 'position'], ['win', 'drive', 'official'], ['thought'], ['usually'], ['population'], ['allow', 'resource']]"
"Turner, Stevens and Livingston",16:47 - 08:56,"['Accountant, chartered certified', 'Actuary', 'Geoscientist', 'Food technologist', 'Engineer, mining']","[['may', 'focus', 'charge'], ['bad'], ['her', 'discuss', 'left'], ['center', 'now', 'now', 'moment'], ['live', 'billion', 'she', 'discover', 'enjoy']]"
Conrad-Jones,10:02 - 17:27,"['Health visitor', 'Photographer', 'Merchandiser, retail', 'Designer, television/film set', 'Programme researcher, broadcasting/film/video', 'Event organiser']","[['whether', 'total', 'wife', 'report'], ['animal', 'especially', 'service', 'successful', 'reflect'], ['glass'], ['meeting'], ['start', 'bad', 'allow', 'hour', 'born'], ['view']]"
"Wallace, Jackson and Brown",15:28 - 05:00,"['Engineer, production', 'Chartered certified accountant', 'Therapist, speech and language', 'Physiotherapist', 'Museum/gallery exhibitions officer', 'Senior tax professional/tax inspector', 'Training and development officer']","[['four', 'accept', 'and'], ['own', 'price', 'ok'], ['act'], ['standard', 'recognize', 'behavior', 'civil', 'family'], ['positive', 'camera', 'than', 'most', 'issue'], ['necessary'], ['account', 'important', 'one']]"
Ramos LLC,22:05 - 01:51,"['Customer service manager', 'Commercial/residential surveyor', 'Marketing executive']","[['science'], ['successful', 'every', 'let', 'which', 'which'], ['should', 'world']]"
Rodriguez-Morris,09:44 - 04:52,"['Energy manager', 'Hospital pharmacist', 'Environmental education officer']","[['identify', 'probably', 'real'], ['why'], ['produce', 'general', 'could']]"
Stevens-Nguyen,09:12 - 21:19,"['Hospital doctor', 'Medical technical officer', 'Chief Technology Officer', 'Administrator, Civil Service', 'Neurosurgeon', 'Illustrator', 'Psychotherapist, dance movement', 'Futures trader']","[['cup'], ['dream'], ['second', 'imagine'], ['study', 'treatment', 'perform', 'trouble', 'act'], ['eat', 'television', 'nearly', 'though'], ['beat', 'guy', 'course', 'activity', 'window'], ['industry', 'surface'], ['participant', 'benefit']]"
"Smith, Washington and Peterson",08:12 - 07:05,"['Armed forces logistics/support/administrative officer', 'Engineer, production', 'Engineer, control and instrumentation', 'Charity fundraiser', 'Biomedical scientist', 'Government social research officer', 'Public house manager', 'Scientist, product/process development']","[['simply', 'from'], ['force', 'door', 'white', 'whom', 'simple'], ['all', 'military', 'second'], ['six', 'talk', 'nearly'], ['suggest'], ['account'], ['speech', 'require', 'do', 'popular', 'bill'], ['good', 'then', 'best', 'so']]"
"Martin, Baker and Williams",14:35 - 10:35,"['Clinical embryologist', 'Materials engineer', 'Records manager', 'Financial planner', 'Energy engineer', 'Sport and exercise psychologist', 'Electronics engineer', 'Horticulturist, commercial']","[['so', 'up', 'article', 'decade'], ['baby', 'present', 'again'], ['green', 'message', 'consider', 'too'], ['blue', 'serve', 'how', 'coach', 'method'], ['season', 'blue', 'officer', 'Congress'], ['mother', 'station', 'apply', 'happen'], ['attention', 'worker', 'market'], ['politics', 'public', 'with', 'theory', 'trip']]"
"Rodriguez, Vega and Swanson",22:59 - 09:49,"['Scientific laboratory technician', 'Chartered management accountant', 'Chemist, analytical', 'Museum education officer', 'Buyer, industrial']","[['director', 'car', 'song', 'key', 'key'], ['career', 'food', 'official', 'main'], ['always', 'write'], ['son'], ['describe']]"
Peters and Sons,21:14 - 03:45,"['Mudlogger', 'Emergency planning/management officer', 'Fashion designer', 'Retail manager', 'Licensed conveyancer', 'Music tutor', 'Psychologist, educational', 'TEFL teacher']","[['coach', 'may', 'attention'], ['great', 'soon', 'however', 'seek', 'fear'], ['professional', 'professor', 'lay', 'health'], ['southern', 'create', 'next', 'meet', 'recently'], ['yes', 'represent', 'must', 'drug'], ['address'], ['player', 'benefit'], ['wonder', 'admit', 'provide', 'anyone', 'few']]"
