Currency_Code,Currency_x,Country,Currency_y,Units,Buy,Sell
EUR,Euro,HOLY SEE (THE),European Euro,1,143.56,144.21
HKD,Hong Kong Dollar,HONG KONG,Hong Kong Dollar,1,17.05,17.12
INR,Indian Rupee,INDIA,Indian Rupee,100,160.0,160.15
EUR,Euro,IRELAND,European Euro,1,143.56,144.21
GBP,Pound Sterling,ISLE OF MAN,UK Pound Sterling,1,167.27,168.02
EUR,Euro,ITALY,European Euro,1,143.56,144.21
JPY,Yen,JAPAN,Japanese Yen,10,8.63,8.67
GBP,Pound Sterling,JERSEY,UK Pound Sterling,1,167.27,168.02
AUD,Australian Dollar,KIRIBATI,Australian Dollar,1,88.11,88.51
KRW,Won,KOREA (THE REPUBLIC OF),South Korean Won,100,9.82,9.86
KWD,Kuwaiti Dinar,KUWAIT,Kuwaity Dinar,1,433.7,435.65
EUR,Euro,LATVIA,European Euro,1,143.56,144.21
CHF,Swiss Franc,LIECHTENSTEIN,Swiss Franc,1,147.0,147.66
EUR,Euro,LITHUANIA,European Euro,1,143.56,144.21
EUR,Euro,LUXEMBOURG,European Euro,1,143.56,144.21
MYR,Malaysian Ringgit,MALAYSIA,Malaysian Ringgit,1,28.14,28.27
EUR,Euro,MALTA,European Euro,1,143.56,144.21
USD,US Dollar,MARSHALL ISLANDS (THE),U.S. Dollar,1,133.32,133.92
EUR,Euro,MARTINIQUE,European Euro,1,143.56,144.21
EUR,Euro,MAYOTTE,European Euro,1,143.56,144.21
USD,US Dollar,MICRONESIA (FEDERATED STATES    OF),U.S. Dollar,1,133.32,133.92
EUR,Euro,MONACO,European Euro,1,143.56,144.21
EUR,Euro,MONTENEGRO,European Euro,1,143.56,144.21
AUD,Australian Dollar,NAURU,Australian Dollar,1,88.11,88.51
EUR,Euro,NETHERLANDS (THE),European Euro,1,143.56,144.21
AUD,Australian Dollar,NORFOLK ISLAND,Australian Dollar,1,88.11,88.51
USD,US Dollar,NORTHERN MARIANA ISLANDS    (THE),U.S. Dollar,1,133.32,133.92
USD,US Dollar,PALAU,U.S. Dollar,1,133.32,133.92
USD,US Dollar,PANAMA,U.S. Dollar,1,133.32,133.92
EUR,Euro,PORTUGAL,European Euro,1,143.56,144.21
USD,US Dollar,PUERTO RICO,U.S. Dollar,1,133.32,133.92
QAR,Qatari Rial,QATAR,Qatari Riyal,1,36.57,36.73
EUR,Euro,RÉUNION,European Euro,1,143.56,144.21
EUR,Euro,SAINT BARTHÉLEMY,European Euro,1,143.56,144.21
EUR,Euro,SAINT MARTIN (FRENCH PART),European Euro,1,143.56,144.21
EUR,Euro,SAINT PIERRE AND MIQUELON,European Euro,1,143.56,144.21
EUR,Euro,SAN MARINO,European Euro,1,143.56,144.21
SAR,Saudi Riyal,SAUDI ARABIA,Saudi Arabian Riyal,1,35.55,35.71
SGD,Singapore Dollar,SINGAPORE,Singapore Dollar,1,98.53,98.98
EUR,Euro,SLOVAKIA,European Euro,1,143.56,144.21
EUR,Euro,SLOVENIA,European Euro,1,143.56,144.21
EUR,Euro,SPAIN,European Euro,1,143.56,144.21
SEK,Swedish Krona,SWEDEN,Swedish Kroner,1,12.29,12.34
CHF,Swiss Franc,SWITZERLAND,Swiss Franc,1,147.0,147.66
THB,Baht,THAILAND,Thai Baht,1,3.62,3.63
USD,US Dollar,TIMOR-LESTE,U.S. Dollar,1,133.32,133.92
USD,US Dollar,TURKS AND CAICOS ISLANDS    (THE),U.S. Dollar,1,133.32,133.92
AUD,Australian Dollar,TUVALU,Australian Dollar,1,88.11,88.51
AED,UAE Dirham,UNITED ARAB EMIRATES (THE),UAE Dirham,1,36.3,36.46
GBP,Pound Sterling,UNITED KINGDOM OF GREAT    BRITAIN AND NORTHERN IRELAND (THE),UK Pound Sterling,1,167.27,168.02
USD,US Dollar,UNITED STATES MINOR OUTLYING    ISLANDS (THE),U.S. Dollar,1,133.32,133.92
USD,US Dollar,UNITED STATES OF AMERICA    (THE),U.S. Dollar,1,133.32,133.92
USD,US Dollar,VIRGIN ISLANDS (BRITISH),U.S. Dollar,1,133.32,133.92
USD,US Dollar,VIRGIN ISLANDS (U.S.),U.S. Dollar,1,133.32,133.92
